Aldana Elementary School,"14.478408, 120.975212","R-1, Las Pinas, Metro Manila, Philippines","R-1, Las Pinas, Metro Manila, Philippines"
Barangay Doña Nena Evacuation Center,"35.4272355, -97.56522319999999","3710 S May Ave, Oklahoma City, OK 73119, USA","3710 S May Ave, Oklahoma City, OK 73119, USA"
Building 3,"14.6339248, 120.9614596","Unnamed Road, Tondo, Manila, Metro Manila, Philippines","Unnamed Road, Tondo, Manila, Metro Manila, Philippines"
Cupang Senior High School,"14.4325249, 121.0516917","405 Manuel L. Quezon, Cupang, Muntinlupa, Metro Manila, Philippines","405 Manuel L. Quezon, Cupang, Muntinlupa, Metro Manila, Philippines"
Eusebio Elementary School,"14.5200657, 121.0737026","6 M. L. Quezon Avenue, San Miguel, Taguig, 1632 Metro Manila, Philippines","6 M. L. Quezon Avenue, San Miguel, Taguig, 1632 Metro Manila, Philippines"
Marcel Covered Court,"14.6815154, 121.0481196","2 Himlayan Road, Quezon City, 1107 Metro Manila, Philippines","2 Himlayan Road, Quezon City, 1107 Metro Manila, Philippines"
Palanyag Gym,"14.4959529, 120.9899868","7201 El Filibusterismo St, Manila, 1700 Metro Manila, Philippines","7201 El Filibusterismo St, Manila, 1700 Metro Manila, Philippines"
Sampalukan Elementary,"14.6440946, 120.9732021","325 Perpetua St, Kaunlaran Village, Caloocan, 1410 Metro Manila, Philippines","325 Perpetua St, Kaunlaran Village, Caloocan, 1410 Metro Manila, Philippines"
San Roque Elementary School,"14.6228801, 121.0971009","2 D Silang, Marikina, 1800 Metro Manila, Philippines","2 D Silang, Marikina, 1800 Metro Manila, Philippines"
St. Mary Elementary School,"32.4433975, -84.9199752","4408 St Marys Rd, Columbus, GA 31907, USA","4408 St Marys Rd, Columbus, GA 31907, USA"
Valenzuela National High School,"14.6725609, 120.984658","58 R. Velenzuela, Valenzuela, Metro Manila, Philippines","58 R. Velenzuela, Valenzuela, Metro Manila, Philippines"
Cardones Elementary School,"14.504299, 121.056478","19 Friendship, Taguig, 1633 Metro Manila, Philippines","19 Friendship, Taguig, 1633 Metro Manila, Philippines"
Concepcion Integrated School,"14.6505205, 121.1020256","3 E Gonzales St, Marikina, 1800 Metro Manila, Philippines","3 E Gonzales St, Marikina, 1800 Metro Manila, Philippines"
Bagong Tanyag Elementary School Main,"14.4800101, 121.0470371","Bagong Tanyag, Taguig, Metro Manila, Philippines","Bagong Tanyag, Taguig, Metro Manila, Philippines"
Sto. Niño High School,"14.6391328, 121.0962752","25a Agricultores St, Marikina, 1800 Metro Manila, Philippines","25a Agricultores St, Marikina, 1800 Metro Manila, Philippines"
H. Bautista Elementary School,"14.6575389, 121.1038275","768 J. P. Rizal St, Marikina, 1800 Metro Manila, Philippines","768 J. P. Rizal St, Marikina, 1800 Metro Manila, Philippines"
Silangan Elementary School,"14.5014415, 121.0504498","S Pendatum Ave, Taguig, Metro Manila, Philippines","S Pendatum Ave, Taguig, Metro Manila, Philippines"
